Date,Price,Open,High,Low,Change
2015-08-14,1.1107,1.1149,1.1189,1.1096,-0.0038
2015-08-17,1.1081,1.1106,1.1125,1.1058,-0.0023
2015-08-18,1.1021,1.1083,1.1096,1.1018,-0.0054
2015-08-19,1.1119,1.1023,1.1137,1.1019,0.0089
2015-08-20,1.1242,1.1117,1.1246,1.1105,0.0111
2015-08-21,1.1389,1.1244,1.1393,1.1229,0.0131
2015-08-24,1.162,1.1363,1.1713,1.1363,0.0203
2015-08-25,1.1517,1.1619,1.1625,1.1399,-0.0089
2015-08-26,1.1315,1.1515,1.1561,1.129,-0.0175
2015-08-27,1.1245,1.1314,1.1366,1.1204,-0.0062
2015-08-28,1.1179,1.1247,1.131,1.1156,-0.0059
2015-08-31,1.1214,1.1176,1.1265,1.1162,0.0031
2015-09-01,1.1319,1.1211,1.1333,1.1206,0.0094
2015-09-02,1.1227,1.1311,1.1319,1.1214,-0.0081
2015-09-03,1.1124,1.1227,1.1246,1.1088,-0.0092
2015-09-04,1.1147,1.1124,1.1181,1.1089,0.0021
2015-09-07,1.1168,1.1157,1.1178,1.112,0.0019
2015-09-08,1.12,1.117,1.1229,1.1152,0.0029
2015-09-09,1.1207,1.1202,1.1219,1.1133,0.0006
2015-09-10,1.128,1.1209,1.1299,1.1174,0.0065
2015-09-11,1.134,1.1279,1.1349,1.1254,0.0053
2015-09-14,1.1321,1.1338,1.1375,1.1285,-0.0017
2015-09-15,1.1267,1.1313,1.1328,1.1258,-0.0048
2015-09-16,1.129,1.1267,1.1321,1.1212,0.002
2015-09-17,1.1437,1.129,1.1442,1.1284,0.013
2015-09-18,1.1305,1.1435,1.146,1.1267,-0.0115
2015-09-21,1.1189,1.1284,1.1332,1.1183,-0.0103
2015-09-22,1.112,1.1188,1.1209,1.1114,-0.0062
2015-09-23,1.1187,1.112,1.1214,1.1105,0.006
2015-09-24,1.123,1.1185,1.1296,1.1164,0.0038
2015-09-25,1.1195,1.1227,1.1231,1.1115,-0.0031
2015-09-28,1.1246,1.1195,1.125,1.1149,0.0046
2015-09-29,1.1249,1.1247,1.1285,1.1196,0.0003
2015-09-30,1.1177,1.1246,1.1262,1.1157,-0.0064
2015-10-01,1.1195,1.1176,1.121,1.1134,0.0016
2015-10-02,1.1211,1.1196,1.1319,1.1151,0.0014
2015-10-05,1.1185,1.122,1.129,1.117,-0.0023
2015-10-06,1.1271,1.1193,1.1282,1.1174,0.0077
2015-10-07,1.1235,1.1269,1.1284,1.121,-0.0032
2015-10-08,1.1279,1.1235,1.1325,1.1232,0.0039
2015-10-09,1.1358,1.1282,1.1391,1.1269,0.007
2015-10-12,1.1355,1.1355,1.1397,1.1351,-0.0003
2015-10-13,1.1379,1.1358,1.1413,1.1346,0.0021
2015-10-14,1.1473,1.1378,1.149,1.1374,0.0083
2015-10-15,1.1383,1.1474,1.1496,1.1363,-0.0078
2015-10-16,1.1347,1.1383,1.1397,1.1334,-0.0032
2015-10-19,1.1327,1.1352,1.1382,1.1307,-0.0018
2015-10-20,1.1345,1.1326,1.1387,1.1324,0.0016
2015-10-21,1.1339,1.1347,1.138,1.1335,-0.0005
2015-10-22,1.1107,1.1338,1.1351,1.1098,-0.0205
2015-10-23,1.1018,1.1111,1.1142,1.0997,-0.008
2015-10-26,1.1056,1.1008,1.1069,1.0987,0.0034
2015-10-27,1.1048,1.1056,1.1079,1.1029,-0.0007
2015-10-28,1.092,1.105,1.1096,1.0894,-0.0116
2015-10-29,1.0976,1.0924,1.0985,1.0903,0.0051
2015-10-30,1.1006,1.0976,1.1073,1.0964,0.0027
2015-11-02,1.1015,1.1015,1.1053,1.1001,0.0008
2015-11-03,1.0968,1.1014,1.1031,1.0936,-0.0043
2015-11-04,1.0863,1.0962,1.0968,1.0842,-0.0096
2015-11-05,1.0884,1.0865,1.0898,1.0835,0.0019
2015-11-06,1.0741,1.0886,1.0896,1.0709,-0.0131
2015-11-09,1.0752,1.0738,1.0793,1.0719,0.001
2015-11-10,1.0724,1.0751,1.0764,1.0673,-0.0026
2015-11-11,1.0744,1.0724,1.0774,1.0705,0.0019
2015-11-12,1.0817,1.0743,1.0829,1.069,0.0068
2015-11-13,1.0779,1.0816,1.0818,1.0715,-0.0035
2015-11-16,1.0686,1.0751,1.0781,1.0675,-0.0086
2015-11-17,1.0644,1.069,1.0696,1.0633,-0.0039
2015-11-18,1.0659,1.064,1.0694,1.0617,0.0014
2015-11-19,1.0734,1.0657,1.0764,1.0654,0.007
2015-11-20,1.0646,1.0736,1.0745,1.0641,-0.0082
2015-11-23,1.0636,1.0647,1.0658,1.0593,-0.0009
2015-11-24,1.0641,1.0634,1.0674,1.062,0.0005
2015-11-25,1.0627,1.0642,1.069,1.0566,-0.0013
2015-11-26,1.061,1.0627,1.0633,1.06,-0.0016
2015-11-27,1.0593,1.061,1.064,1.057,-0.0016
2015-11-30,1.0564,1.0591,1.0596,1.0558,-0.0027
2015-12-01,1.0631,1.0566,1.0638,1.0562,0.0063
2015-12-02,1.0615,1.0633,1.0644,1.0553,-0.0015
2015-12-03,1.0941,1.0616,1.0983,1.0541,0.0307
2015-12-04,1.0886,1.0939,1.0957,1.0837,-0.005
2015-12-07,1.0835,1.0859,1.0888,1.0795,-0.0047
2015-12-08,1.0894,1.0835,1.0901,1.0827,0.0054
2015-12-09,1.1025,1.0888,1.1042,1.0877,0.012
2015-12-10,1.0941,1.1027,1.1029,1.0924,-0.0076
2015-12-11,1.0989,1.0943,1.1033,1.0926,0.0044
2015-12-14,1.0992,1.0985,1.105,1.0946,0.0003
2015-12-15,1.0928,1.0991,1.1059,1.0903,-0.0058
2015-12-16,1.0913,1.0932,1.1008,1.0888,-0.0014
2015-12-17,1.0825,1.0915,1.0915,1.08,-0.0081
2015-12-18,1.0868,1.0828,1.0877,1.0806,0.004
2015-12-21,1.0915,1.0863,1.0941,1.0848,0.0043
2015-12-22,1.0955,1.0913,1.0985,1.0901,0.0037
2015-12-23,1.0909,1.0955,1.0957,1.0869,-0.0042
2015-12-24,1.0972,1.0913,1.0976,1.0903,0.0058
2015-12-25,1.0977,1.0973,1.0979,1.0945,0.0005
2015-12-28,1.0968,1.0965,1.0995,1.0951,-0.0008
2015-12-29,1.0917,1.0968,1.0992,1.0899,-0.0046
2015-12-30,1.0932,1.092,1.0947,1.0903,0.0014
2015-12-31,1.0861,1.0932,1.0938,1.085,-0.0065
2016-01-01,1.086,1.0862,1.0869,1.0845,-0.0001
2016-01-04,1.0831,1.0858,1.0949,1.0783,-0.0027
2016-01-05,1.0748,1.0831,1.084,1.0711,-0.0077
2016-01-06,1.0781,1.0749,1.0802,1.0721,0.0031
2016-01-07,1.0936,1.0779,1.0941,1.077,0.0144
2016-01-08,1.0932,1.0934,1.0936,1.0804,-0.0004
2016-01-11,1.086,1.0923,1.0969,1.0847,-0.0066
2016-01-12,1.0857,1.0859,1.0904,1.0822,-0.0003
2016-01-13,1.0877,1.0858,1.0891,1.0807,0.0018
2016-01-14,1.0865,1.088,1.0945,1.0835,-0.0011
2016-01-15,1.0917,1.0866,1.0987,1.0855,0.0048
2016-01-18,1.0892,1.0918,1.0941,1.0869,-0.0023
2016-01-19,1.0909,1.0892,1.0941,1.0861,0.0016
2016-01-20,1.0891,1.091,1.0977,1.0877,-0.0016
2016-01-21,1.0874,1.0893,1.0922,1.0779,-0.0016
2016-01-22,1.0797,1.0874,1.0879,1.079,-0.0071
2016-01-25,1.0849,1.0799,1.0858,1.0788,0.0048
