Date,Price,Open,High,Low,Change
2018-02-06,1.3948,1.396,1.4001,1.3836,-0.0008
2018-02-07,1.3882,1.3949,1.3994,1.3848,-0.0047
2018-02-08,1.3914,1.3879,1.4067,1.3846,0.0023
2018-02-09,1.3838,1.3914,1.3989,1.3765,-0.0055
2018-02-12,1.3838,1.3827,1.3878,1.3797,0
2018-02-13,1.3892,1.3837,1.3925,1.3832,0.0039
2018-02-14,1.3998,1.3894,1.4018,1.3799,0.0076
2018-02-15,1.4099,1.4002,1.4105,1.399,0.0072
2018-02-16,1.4042,1.41,1.4146,1.3998,-0.004
2018-02-19,1.4005,1.4034,1.4051,1.3958,-0.0026
2018-02-20,1.3996,1.4005,1.4026,1.3931,-0.0006
2018-02-21,1.3918,1.3996,1.4009,1.3905,-0.0056
2018-02-22,1.3956,1.3919,1.3988,1.3857,0.0027
2018-02-23,1.3967,1.3962,1.4007,1.3905,0.0008
2018-02-26,1.3967,1.3974,1.4071,1.3928,0
2018-02-27,1.3909,1.3967,1.3999,1.3858,-0.0042
2018-02-28,1.376,1.3907,1.3916,1.3756,-0.0107
2018-03-01,1.3776,1.3762,1.3786,1.3712,0.0012
2018-03-02,1.3805,1.3777,1.3819,1.3757,0.0021
2018-03-05,1.3849,1.3797,1.3877,1.3766,0.0032
2018-03-06,1.3887,1.385,1.3932,1.3817,0.0027
2018-03-07,1.3901,1.3887,1.3915,1.3846,0.001
2018-03-08,1.3812,1.39,1.3911,1.3782,-0.0064
2018-03-09,1.3849,1.3811,1.389,1.3788,0.0027
2018-03-12,1.3905,1.3852,1.3918,1.3839,0.004
2018-03-13,1.3962,1.3906,1.3997,1.3876,0.0041
2018-03-14,1.3961,1.3961,1.3998,1.3926,-0.0001
2018-03-15,1.3938,1.3962,1.3989,1.3921,-0.0016
2018-03-16,1.3941,1.3936,1.3981,1.3886,0.0002
2018-03-19,1.4024,1.3931,1.4088,1.3911,0.006
2018-03-20,1.3998,1.4024,1.4067,1.3981,-0.0019
2018-03-21,1.4142,1.3998,1.4152,1.3997,0.0103
2018-03-22,1.4096,1.4141,1.4218,1.4076,-0.0033
2018-03-23,1.4134,1.4096,1.4172,1.4084,0.0027
2018-03-26,1.4228,1.4142,1.4246,1.4132,0.0067
2018-03-27,1.4157,1.4231,1.4246,1.4067,-0.005
2018-03-28,1.4078,1.4154,1.4202,1.4069,-0.0056
2018-03-29,1.4017,1.4077,1.4098,1.401,-0.0043
2018-03-30,1.4018,1.4018,1.4062,1.4009,0.0001
2018-04-02,1.4045,1.4026,1.408,1.402,0.0019
2018-04-03,1.4059,1.4045,1.4091,1.4021,0.001
2018-04-04,1.4082,1.4059,1.4098,1.4014,0.0016
2018-04-05,1.4003,1.4079,1.41,1.3965,-0.0056
2018-04-06,1.4092,1.4003,1.4106,1.3982,0.0064
